instance,variant,steps,numTaskFinished,numPlannerErrors,numScheduleErrors,numEntryTimeouts,wall_seconds,valid
SORTATION,draft_scheduler,1000,14337,0,0,0,148.15,True
CITY-01,fixed,1000,2093,0,0,0,36.417,True
RANDOM-01,fixed,600,457,0,0,0,0.689,True
SORTATION,fixed,1000,4704,0,0,0,87.365,True
WAREHOUSE,fixed,1000,5696,0,0,0,76.62,True
SORTATION,hybrid,1000,4639,0,0,0,83.543,True
CITY-01,hybrid_sample,1000,2038,0,0,0,35.884,True
RANDOM-01,hybrid_sample,600,408,0,0,0,0.664,True
SORTATION,hybrid_sample,1000,12575,0,0,0,127.496,True
WAREHOUSE,hybrid_sample,1000,8424,0,0,0,96.853,True
CITY-01,sample,1000,2108,0,0,0,35.787,True
RANDOM-01,sample,600,457,0,0,0,0.693,True
SORTATION,sample,1000,12173,0,0,0,119.678,True
WAREHOUSE,sample,1000,8464,0,0,0,86.964,True
